Dato;Antal infektioner;Antal indlagte;Kommentar
2023-01-01;5;320;
2023-02-01;3;305;
2023-03-01;6;330;
2023-04-01;4;315;
2023-05-01;7;340;Udbrud på afd. B
2023-06-01;5;325;
2023-07-01;3;290;Sommerferie
2023-08-01;4;310;
2023-09-01;6;335;
2023-10-01;5;320;
2023-11-01;8;345;
2023-12-01;4;300;
2024-01-01;3;315;Ny hygiejneprotokol
2024-02-01;2;310;
2024-03-01;3;325;
2024-04-01;2;330;
2024-05-01;4;340;
2024-06-01;1;320;
2024-07-01;3;295;
2024-08-01;2;315;
2024-09-01;3;335;
2024-10-01;2;320;
2024-11-01;1;340;
2024-12-01;2;310;
